BS76889167422,University Flats,Greeley
BS51063931888,The Fairway,West Lafayette
BS02351779901,Auraria Student Lofts,Denver
BS00067779007,Stadium View,Bozeman
BS87423816331,Elevate Bellingham,Bellingham
BS58654256106,College Crest,Pullman
BS00800881000,University Gardens,Salt Lake City
BS39166358711,University Gateway,Orem
BS73810267148,800 Block,Logan
BS35945483699,Wildcat Canyon,Tucson
BS28561276692,Tempranillo,Clovis
BS68562442640,University Towers,Orem
BS99116320914,Alpine Flats,Logan
BS40343356100,Duck Abbey,Eugene
BS18784373498,Trailhead Tech,St George
BS03524949071,Elliston 23,Nashville
BS37432603714,Arbors at Orange Park,Orange Park
BS01383906648,Woodbridge Apartments,Dallas
BS19596583986,The Summit at Midtown Apartments,Dallas
BS54219312319,Princeton Court Apartments,Dallas
BS28649287073,Preston Park Apartments,Dallas
BS10420291648,Harvard Square Apartments,Dallas
BS60434536957,Canyon Creek Apartments,Dallas
BS28034443570,Cambridge Court Apartments,Dallas
BS68053219805,The Brownstone Apartments,Dallas
BS80255637323,The Biltmore Apartments,Dallas
BS15396775206,Washington Place Apartments,Miamisburg
BS01201754885,Washington Park Apartments,Centerville
BS20638644135,Village East Apartments,Franklin
BS64477332939,Trails of Saddlebrook Apartments,Florence
BS61774933592,Romaine Court Apartments,Cincinnati
BS04194710708,Red Bank Reserve Apartments,Cincinnati
BS30794554515,Park Lane Apartments,Cincinnati
BS02990110452,Nantucket Apartments,Loveland
BS94228947467,Montana Valley Apartments,Cincinnati
BS32671651982,Lisa Ridge Apartments,Cincinnati
BS30557448578,Lake of the Woods Apartments,Mt. Healthy
BS81397947194,Tech Dunes Apartments,St George
BS71134794718,Solstice at Fiddyment Ranch,Roseville
BS30998264221,Fairfield Pointe Apartments,Fairfield
BS30764010186,Deer Hill Apartments,Cincinatti
BS20440239225,Paseo Residences at Eilan,San Antonio
BS58722185795,Compton Lake Apartments,Mt. Healthy
BS17924241183,Colonial Ridge Apartments,Cincinatti
BS95751131886,College Woods Apartments,Cincinatti
BS25764594060,Bluegrass Manor Apartments,Erlanger
BS55148529711,Aspen Village,Cincinatti
BS01330894433,Union @ Roosevelt - Origin Investments,Phoenix
BS04131906953,Logan at Osborn,Phoenix
BS02234316567,Logan at Southern Highlands,Las Vegas
BS75433815949,South Beach by Logan,Las Vegas
